objectid,filename,compound,object_location,title,creator,publisher's #,date,date created,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
KP0011,KPr000_11.jpg,KPv000_11.jpg,,The Scrapping Ladies,"Hinode Shoko, Seoul (Publishing Firm)",,1918,,"Color lithograph (halftone); ink on cardstock. Colorized photograph of three gisaeng playing musical instruments, While gisaeng were vigorous and plucky enough to form their own group of political activists and participate in the independent movements against Japanese imperialism, the “gisaeng postcards” reproduced during the colonial period mainly portrayed them as entertainment and tourist attractions, as coy and meek music players, dancers, and women of beauty. The weak and effeminate image of Korea disseminated by the postcards was often used to justify Japanese colonial rule. ","Korea; Korea--Japanese Occupation, 1910-1945; Women; Gisaeng; Music; Tourism; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_11.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0012,KPr000_12.jpg,KPv000_12.jpg,,Pulling ox of Korea ,,,,1907-1918,"Collotype; ink on cardstock. Photograph of a peasant pulling ox to transport a heavy load and farmers carrying a jige (지게, a traditional Korean A-frame carrier).","Korea; Korea--Japanese Occupation, 1910-1945; Indigenous peoples; Working class peoples; Jige; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_12.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0013,KPr000_13.jpg,KPv000_13.jpg,,The manufacuturing centre of Han-yang ,,,,1933-1945,"Color lithograph (halftone); ink on cardstock. Colorized photograph of the manufacturing district in Hanyang, the capital in Joseon. Under colonial rule, the capital of Korea was called Kyungsung (Keijo). Hanyang (한양) or Hanseong (한성, 漢城, ""Fortress city on the Han River"") was the name of the capital during the Joseon Dynasty. The city took its present name of Seoul after World War II and Korea’ liberation. ","Korea; Korea--Japanese Occupation, 1910-1945; Keijō (Korea); Factories; Modernization","Seoul, Korea",37.566536,126.977966,Cal Poly Pomona Global South Postcard Collection,KPr000_13.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0014,KPr000_14.jpg,KPv000_14.jpg,,Hwahongmun in Suwon Hwaseong Fortress,"Hinode Shoko, Seoul (Publishing Firm)",,,1933-1946,"Monochrome lithograph (halftone); ink on cardstock. Collaged photographs of Hwahongmun (화홍문, Northern Watergate ) in Suwon Hwaseong Fortress, Gyeonggi-do. ","Korea; Korea--Japanese Occupation, 1910-1945; Hwaseong Fortress (Suwŏn-si, Korea); Monuments and memorials; Hydraulic gates","Suwon Hwaseong Fortress, Gyeonggi-do, Korea",37.273165,127.016833,Cal Poly Pomona Global South Postcard Collection,KPr000_14.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0015,KPr000_15.jpg,KPv000_15.jpg,,"Honmachi-ichome (Chungmu-ro), Keijo ","Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,"Color lithograph (halftone); ink on cardstock. Colorized photograph of Honmachi (충무로, Chungmu-ro). Chungmu-ro is an avenue in the city of Seoul. Naming the district honmachi (the center of the town; (本) (hon) means ""base, root, origin"" and (町) (machi) means “street” or “town”), Japanese merchants started occupying the district since the end of the Joseon dynasty. Lined with luxurious shops for jewelry, cosmetics, books, foods, stationery, and other merchandise, the avenue became the center of commerce for Japanese merchants during the Japanese colonial period. After liberation, it was named Chungmu-ro after Admiral Yi Sun-shin, a Korean national hero famous for his victories against the Japanese navy that tried to invade the country in the 1590s. It was one of Korea's symbolic attempts to clear away the remnants of Japanese colonialism. ","Korea; Korea--Japanese Occupation, 1910-1945; Keijō (Korea); Commercial strips; Modernization","Chungmu-ro, Seoul, Korea",37.556664,126.986829,Cal Poly Pomona Global South Postcard Collection,KPr000_15.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0016,KPr000_16.jpg,KPv000_16.jpg,,The Salt Seller,"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,Color lithograph (halftone); ink on cardstock. Colorized photograph of a salt seller.,"Korea; Korea--Japanese Occupation, 1910-1945; Indigenous peoples; Working class peoples; Vending stands; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_16.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0017,KPr000_17.jpg,KPv000_17.jpg,,Women Ironing Clothes (Dadeumi),"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,"Color lithograph (halftone); ink on cardstock. Colorized photograph of women ironing clothes, sitting on the floor and facing each other. At the bottome of the postcard, there is a description of Bulguksa (불국사), a head temple of the Jogye Order of Korean Buddhism, located in Gyeongju.","Korea; Korea--Japanese Occupation, 1910-1945; Women; Laundry; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_17.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0018,KPr000_18.jpg,KPv000_18.jpg,,"Suikado Public Ordinart School, Seoul ","Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,Collotype; ink on cardstock. Photograph of Kyungsung Suhadong Public Elementary School (Seoul Chunggae Elementary School). ,"Korea; Korea--Japanese Occupation, 1910-1945; Keijō (Korea); Architecture; Modernization","Nowon-gu, Junggye-dong, Gongneung-ro, Seoul, Korea",37.645129,127.066471,Cal Poly Pomona Global South Postcard Collection,KPr000_18.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0019,KPr000_19.jpg,KPv000_19.jpg,,The manner of Korea ,"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,Color lithograph (halftone); ink on cardstock. Colorized photograph of women doing laundry in river.,"Korea; Korea--Japanese Occupation, 1910-1945; Women; Laundry; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_19.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0020,KPr000_20.jpg,KPv000_20.jpg,,"The hospital of the government Korea, Keijo",,,,,Color lithograph (halftone); ink on embossed cardstock. Colorized photograph of the Government-General Hospital of Korea in Kyugsung. ,"Korea; Korea--Japanese Occupation, 1910-1945; Architecture; Modernization","Jongno-gu, Seoul, South Korea",37.582791,126.998721,Cal Poly Pomona Global South Postcard Collection,KPr000_20.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0021,KPr000_21.jpg,KPv000_21.jpg,,The Rodosha ,,,,1907-1933,"Collotype; ink on cardstock. Photograph of a laborer smoking Gombangdae (곰방대, korean tobacco pipe)","Korea; Korea--Japanese Occupation, 1910-1945; Indigenous peoples; Gombangdae; Manners and customs ",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_21.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,    
KP0022,KPr000_22.jpg,KPv000_22.jpg,,The Chicken Carrier,"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,"Color lithograph (halftone); ink on cardstock. Manipulated, colorized photograph of a man wearing traditional clothing and carrying chickens in a backpack.","Korea; Korea--Japanese Occupation, 1910-1945; Indigenous peoples; Jige; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_22.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0023,KPr000_23.jpg,KPv000_23.jpg,,The Old-man on Horseback,"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,"Color lithograph (halftone); ink on cardstock. Manipulated, colorized photograph of a man riding a donkey, wearing satgat (삿갓, a traditional cornical bamboo hat). ","Korea; Korea--Japanese Occupation, 1910-1945; Indigenous peoples; Men; Transportation; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_23.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0024,KPr000_24.jpg,KPv000_24.jpg,,Having His Picture Taken ,"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,Color lithograph (halftone); ink on cardstock. Colorized photograph of an old man in traditional clothes and a hat. ,"Korea; Korea--Japanese Occupation, 1910-1945; Men; Upper class; Regional costume; Photography",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_24.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0025,KPr000_25.jpg,KPv000_25.jpg,,Government General of Korea first anniversary #1,,,,1907-1918,Color lithograph (halftone); ink on cardstock. Three collaged photographs of Seoul and vicinity set within an extensive artistic border depicting the city and its main rail bridge.,"Korea; Korea--Japanese Occupation, 1910-1945; Keijō (Korea); Railroads; Bridges; Lanscape; Modernization","Seoul, Korea",37.566536,126.977966,Cal Poly Pomona Global South Postcard Collection,KPr000_25.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0026,KPr000_26.jpg,KPv000_26.jpg,,Chosen Railway Hotel Seoul,,,,,"Color collotype; ink on cardstock. Colorized photograph of Joseon Railway Hotel in Kyungsung, constructed on September 20, 1914, and officially opened on October 10, 1914. ","Korea; Korea--Japanese Occupation, 1910-1945; Railroads; Transportation; Architecture; Modernization","Jung-gu, Seoul, South Korea",37.565061,126.979969,Cal Poly Pomona Global South Postcard Collection,KPr000_26.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0027,KPr000_27.jpg,KPv000_27.jpg,,Kisaeng looking in mirror,"Hinode Shoko, Seoul (Publishing Firm)",,,,Color lithograph (halftone); ink on cardstock. Colorized photograph of a gisaeng looking in the mirror in the western-style room decorated with flower pots. ,"Korea; Korea--Japanese Occupation, 1910-1945; Women; Gisaeng; Tourism; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_27.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0028,KPr000_28.jpg,KPv000_28.jpg,,Rail bridge over Han River with kisaeng and poem,"Hinode Shoko, Seoul (Publishing Firm)",,,,Color lithograph (halftone); ink on cardstock. Colorized photograph of two gisaeng standing under a tree. A Japanese poem is writtne on the left corner of the postcard. ,"Korea; Korea--Japanese Occupation, 1910-1945; Women; Gisaeng; Manners and customs","Seoul, Korea",37.566536,126.977966,Cal Poly Pomona Global South Postcard Collection,KPr000_28.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0029,KPr000_29.jpg,KPv000_29.jpg,,Kisaeng with white hood,"Hinode Shoko, Seoul (Publishing Firm)",,,,"Color lithograph (halftone); ink on cardstock. Colorized photograph of a gisaeng dancing Seungmu (승무, Korean traditional dance performed by Buddhist monks). ","Korea; Korea--Japanese Occupation, 1910-1945; Women; Gisaeng; Regional costume; Dance; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_29.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0030,KPr000_30.jpg,KPv000_30.jpg,,The Kanko Iron Brrdge,"Hinode Shoko, Seoul (Publishing Firm)",,,,"Color lithograph (halftone); ink on cardstock. Colorized photograph of Kyungbu Line (경부선) Railway Bridge, constructed in 1905. ","Korea; Korea--Japanese Occupation, 1910-1945; Transportation; Railroads; Bridges; Modernization","Yongsan-gu, Seoul, South Korea",37.519399,126.951231,Cal Poly Pomona Global South Postcard Collection,KPr000_30.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0031,KPr000_31.jpg,KPv000_31.jpg,,"The Keikai-ro in Kofuku-kyu (Old Place), Keijo",Chosen Railways S.M.R.,,,,"Color collotype; ink on cardstock. Colorized photograph of Gyeonghoeru (경회루, The Royal Banquet Hall) in Gyeongbokgung Palace (경복궁). The pavilion is one of the few structures at the palace that survived the Japanese occupation of Korea from 1910 to the end of World War II in 1945.","Korea; Korea--Japanese Occupation, 1910-1945; Gyeongbokgung; Palaces; Monuments and memorials; Tourism","Jongno-gu, Seoul, South Korea",37.573831,126.972996,Cal Poly Pomona Global South Postcard Collection,KPr000_31.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0032,KPr000_32.jpg,KPv000_32.jpg,,"Grand View of Bambutsuso, Kongosan",Chosen Railways S.M.R.,,,,"Color collotype; ink on cardstock. Colorized photograph of View of Manmulsang (만물상), a scenic rock mountain in the Kumgang Mountains (금강산), Kangwon-do, North Korea. ","Korea; Korea--Japanese Occupation, 1910-1945; Kŭmgang Mountains (Korea); Tourism; Mountains; Landscape","Kumgang-gun, North Korea",38.729081,128.142839,Cal Poly Pomona Global South Postcard Collection,KPr000_32.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,
KP0033,KPr000_33.jpg,KPv000_33.jpg,,The manner of Korea ,"Hinode Shoko, Seoul (Publishing Firm)",,,1918-1933,Color lithograph (halftone); ink on cardstock. Colorized photo of a procession of aristocratic travelers in hand carts and litters being conducted along a crowded street.,"Korea; Korea--Japanese Occupation, 1910-1945; Upper class; Processions; Manners and customs",Unknown location,35.907757,127.766922,Cal Poly Pomona Global South Postcard Collection,KPr000_33.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0034,KPr000_34.jpg,KPv000_34.jpg,,"Saika Peak Looking from Eight Successive Pools. ""Mt. Outer Diamond""",,,,1918-1933,"Color lithograph (halftone); ink on cardstock. Colorized photo of a scenic view of Kumgang Mountains (금강산) viewed from a cascading stream with rocks below. The Mt. Kumgang tour became popular after the Chōsen Government Railway opened the Gyeongwon Railway Line (경원선) in 1914, built a railroad hotel in 1915, and constructed Donghae Northern Railway Line (동해북부선) in 1932. ","Korea; Korea--Japanese Occupation, 1910-1945; Kŭmgang Mountains (Korea); Tourism; Mountains; Landscape","Kumgang-gun, North Korea",38.729081,128.142839,Cal Poly Pomona Global South Postcard Collection,KPr000_34.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
KP0035,KPr000_35.jpg,KPv000_35.jpg,,The Fantastic rock of Umikongo,"Hinode Shoko, Seoul (Publishing Firm)",10,,1918-1934,"Color lithograph (halftone); ink on cardstock. Colorized photo of a view of Haegeumgang River (해금강), a rock island of Geojedo Island (거제도). ","Korea; Korea--Japanese Occupation, 1910-1945; Kŏje Island (Korea); Tourism; Islands; Landscape","Geoje-si, Gyeongsangnam-do, South Korea",34.780001,128.683401,Cal Poly Pomona Global South Postcard Collection,KPr000_35.jpg,Image; Still Image,image/jpeg,jap; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0003,MPr000_3.jpg,MPv000_3.jpg,,"Evangelista, México.",J. Granat,107,,1900-1907,Color lithograph (halftone); ink on cardstock. Colorized photo of a public scribe writing letters or legal documents for illiterate clients.,Mexico; Indigenous peoples; Working class peoples; Scribes; Manners and customs,Unknown location,23.634501,-102.552784,Cal Poly Pomona Global South Postcard Collection,MPr000_3.jpg,Image; Still Image,image/jpeg,span,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0005,MPr000_5.jpg,MPv000_5.jpg,,México. Novios Mexicanos.,Latapi y Bert,6365,1909,,Color lithograph (halftone); ink on cardstock. Colorized photo of a man and speaking to a woman in a house window.,Mexico; Women; Charros; Regional costume; Manners and customs,Unknown location,23.634501,-102.552784,Cal Poly Pomona Global South Postcard Collection,MPr000_5.jpg,Image; Still Image,image/jpeg,span; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0006,MPr000_6.jpg,MPv000_6.jpg,,"Chinas poblanas, México.",F. Martin,588,1920,,Color lithograph (halftone); ink on cardstock. Group of women and children dressed in traditional china poblana garb originating in the Puebla region.,Mexico; Puebla (Mexico); Women; Regional costume; China poblana; Manners and customs,Unknown location,23.634501,-102.552784,Cal Poly Pomona Global South Postcard Collection,MPr000_6.jpg,Image; Still Image,image/jpeg,span; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0007,MPr000_7.jpg,MPv000_7.jpg,,Mexico. Bosque de Chapultepec.,PVK,,1903,,Color lithograph (halftone); ink on cardstock. Colorized photo of electric streetcar in front of Chapultepec Castle and its park.,"Mexico; Mexico City (Mexico); Chapultepec (Mexico City, Mexico); Parks; Transportation; Street-railroads; Modernization","Mexico City, Federal District, Mexico",19.420458,-99.182228,Cal Poly Pomona Global South Postcard Collection,MPr000_7.jpg,Image; Still Image,image/jpeg,span; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0008,MPr000_8.jpg,MPv000_8.jpg,,Tipo Mexicano en las Ruinas de Mitla.,J.G. Hatton,3457,,1900-1907,Color lithograph (halftone); ink on cardstock. Colorized photo of a woman dressed traditionally in the Mitla ruins.,Mexico; Indigenous peoples; Women; Regional costume; Archaeology; Monuments and memorials,"Mitla, Oaxaca State, Mexico",16.914618,-96.301011,Cal Poly Pomona Global South Postcard Collection,MPr000_8.jpg,Image; Still Image,image/jpeg,span,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0010,MPr000_10.jpg,MPv000_10.jpg,,"Lavanderas, México.",J.G. Hatton,8067,,1907-1915,"Color lithograph (halftone); ink on cardstock. Colorized photo of rural women doing laundry in a creek, with clothes spread to dry on the bushes.",Mexico; Women; Laundry,Unknown location,23.634501,-102.552784,Cal Poly Pomona Global South Postcard Collection,MPr000_10.jpg,Image; Still Image,image/jpeg,span,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0011,MPr000_11.jpg,MPv000_11.jpg,,Selling Ollas,J.G. Hatton,3329,,1907-1915,Color lithograph (halftone); ink on cardstock. Colorized photo of a man transporting clay water jugs with a wooden backpack frame.,Mexico; Men; Water carriers (Persons); Working class people; Pottery,Unknown location,23.634501,-102.552784,Cal Poly Pomona Global South Postcard Collection,MPr000_11.jpg,Image; Still Image,image/jpeg,eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
MP0012,MPr000_12.jpg,MPv000_12.jpg,,"Tipos Indigenas, México.",F. Martin,495,1920,,Color lithograph (halftone); ink on cardstock. Colorized photo of three women dressed in traditional indigenous costume similar to the tehuana costume from the Tehuantepec region.,Mexico; Women; Indigenous peoples; Regional costume,Unknown location,23.634501,-102.552784,Cal Poly Pomona Global South Postcard Collection,MPr000_12.jpg,Image; Still Image,image/jpeg,span; eng,No Known Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
